song_name,song_popularity,song_duration_ms,acousticness,danceability,energy,instrumentalness,key,liveness,loudness,audio_mode,speechiness,tempo,time_signature,audio_valence
18 And Life,60,231280,0.000384,0.457,0.794,7.26E-05,1,0.131,-6.624,0,0.0298,90.439,4,0.354
Heaven's On Fire,66,201400,0.00536,0.679,0.859,5.18E-05,0,0.327,-5.945,1,0.0665,124.324,4,0.792
Dude (Looks Like A Lady),69,265773,0.417,0.537,0.978,1.56E-05,4,0.0374,-2.921,0,0.0442,126.343,4,0.931
Gypsy Road,54,235733,0.00961,0.523,0.88,0.000828,9,0.329,-9.019,1,0.0402,132.426,4,0.553
Alone Again,60,262200,0.0194,0.298,0.612,9.67E-05,3,0.0906,-9.002,0,0.0379,156.727,4,0.343
Poison,60,269600,0.0515,0.3,0.894,0.000333,2,0.125,-7.786,0,0.109,118.631,4,0.268
Addicted To That Rush,4,284973,0.0537,0.46,0.974,7.95E-06,2,0.329,-5.095,1,0.156,112.684,4,0.444
Inside Out,47,228533,0.013,0.426,0.961,0.0259,8,0.0621,-4.365,1,0.07,171.411,4,0.616
I Wanna Be Somebody,5,223533,0.00081,0.296,0.83,0,1,0.263,-7.051,0,0.0505,164.124,4,0.478
Wait,51,295426,0.00122,0.204,0.794,0,2,0.148,-7.586,1,0.0618,149.346,4,0.205
Over The Mountain,3,271400,4.95E-05,0.463,0.926,0.000576,5,0.0868,-3.563,0,0.12,131.129,4,0.501
Wild Frontier - Remastered 2002,48,255720,0.00434,0.479,0.822,4.76E-06,4,0.0843,-6.412,0,0.0444,130.035,4,0.562
Armed And Ready - 2008 Remastered Version,4,248333,0.00388,0.33,0.963,0.00714,9,0.0793,-5.509,1,0.106,171.59,4,0.734
I Surrender,59,241893,0.159,0.498,0.858,0,7,0.262,-5.259,0,0.0661,132.718,4,0.778
Edge Of A Broken Heart,54,265333,0.0113,0.619,0.751,7.87E-05,7,0.123,-11.568,0,0.0417,126.079,4,0.532
I Don't Believe In Love - Remastered 2003,53,263560,0.0373,0.562,0.991,1.14E-05,7,0.425,-2.654,1,0.0745,118.004,4,0.266
I Hate Myself for Loving You,66,246800,0.0846,0.611,0.883,1.20E-06,9,0.192,-11.225,1,0.0539,117.928,4,0.604
Eye of the Tiger,77,245620,0.132,0.817,0.599,0.000311,0,0.0873,-9.249,0,0.0328,108.873,4,0.548
Kiss Me Deadly,55,241800,0.00819,0.468,0.743,7.88E-05,0,0.369,-10.846,1,0.0326,156.103,4,0.648
I Remember You,67,313693,0.00642,0.345,0.531,7.28E-06,0,0.14,-12.708,1,0.0305,176.302,4,0.49
Wild Side,61,281960,0.00742,0.596,0.896,0.00057,0,0.372,-4.635,1,0.0382,115.092,4,0.456
Heaven,64,236843,0.115,0.462,0.488,0,6,0.128,-11.143,1,0.0287,145.789,4,0.33
Fallen Angel - Remastered,57,238200,0.00864,0.509,0.935,1.17E-06,6,0.255,-3.633,1,0.0493,148.062,4,0.501
Shout At The Devil,63,195853,0.02,0.489,0.953,0.00021,0,0.113,-4.615,1,0.0858,94.443,4,0.447
Runaway,67,230666,0.00482,0.476,0.897,2.38E-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667
Shake Me,54,222466,0.00465,0.567,0.889,0.000183,9,0.269,-11.782,1,0.0304,132.726,4,0.555
Modern Day Cowboy,60,318226,0.0158,0.44,0.772,5.65E-06,9,0.082,-8.838,1,0.0335,112.839,4,0.321
Why Can't This Be Love,62,227693,0.0606,0.531,0.626,0,0,0.0767,-13.371,1,0.0452,88.236,4,0.746
Up All Night,51,226026,0.000373,0.516,0.733,0.00716,7,0.258,-11.341,0,0.0326,98.006,4,0.552
High Enough,59,287320,0.0241,0.273,0.537,0,2,0.0922,-9.612,1,0.0306,81.814,4,0.232
Rock And Roll All Nite,31,168733,0.046,0.656,0.931,0,1,0.0543,-5.827,1,0.0976,144.747,4,0.909
Living After Midnight,64,210133,0.0136,0.61,0.824,1.75E-06,4,0.0606,-6.046,1,0.0534,134.992,4,0.819
Wild Child,59,312400,0.0608,0.372,0.857,9.01E-05,5,0.187,-7.816,0,0.0461,146.08,4,0.389
Unskinny Bop - 2006 - Remaster,61,228066,0.0657,0.574,0.93,7.78E-06,1,0.108,-2.949,1,0.0413,92.303,4,0.69
Bark at the Moon,65,257120,0.00253,0.303,0.961,6.20E-05,9,0.132,-5.333,0,0.243,146.591,4,0.305
In My Dreams (Re-Recorded / Remastered),51,273013,4.91E-05,0.542,0.839,0,3,0.0471,-4.404,0,0.0487,121.026,4,0.611
Sister Christian,57,302933,0.159,0.447,0.348,1.98E-06,5,0.0835,-16.199,1,0.039,177.356,4,0.227
Love Song,45,321266,0.36,0.341,0.406,0.0519,2,0.126,-8.139,1,0.0359,79.995,4,0.33
Ain't Talkin' 'Bout Love - 2015 Remastered Version,65,227800,0.021,0.518,0.938,0.000305,8,0.288,-5.964,0,0.0416,139.138,4,0.71
Ace of Spades,74,165906,0.00242,0.317,0.981,0.00677,6,0.0852,-7.102,1,0.174,140.079,4,0.234
Don't Close Your Eyes,49,257053,0.0795,0.537,0.382,0.00115,7,0.114,-15.568,0,0.0245,148.061,4,0.338
Detroit Rock City,22,215899,0.0442,0.546,0.91,5.61E-05,5,0.263,-6.736,1,0.061,90.58,4,0.458
Hot For Teacher - 2015 Remastered Version,66,282746,0.000652,0.551,0.947,0.000257,2,0.0637,-4.671,1,0.152,127.657,4,0.466
Don't Treat Me Bad,54,235360,0.000303,0.616,0.807,2.37E-05,8,0.193,-11.4,1,0.0348,111.054,4,0.637
Don't Stop Believin',79,250986,0.127,0.5,0.748,0,4,0.447,-9.072,1,0.0363,118.852,4,0.514
House Of Pain,54,346626,0.0766,0.519,0.61,6.49E-05,0,0.248,-10.256,1,0.036,121.324,4,0.232
Sharp Dressed Man - 2008 Remastered Version,72,258026,0.000359,0.601,0.859,0.00124,5,0.0871,-5.263,1,0.0276,125.145,4,0.446
Paranoid - Remastered Version,69,168405,4.52E-05,0.415,0.658,0.000735,4,0.176,-12.051,0,0.0696,163.015,4,0.45
You Shook Me All Night Long,77,210173,0.00287,0.532,0.767,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,0.755
I Was Made For Lovin' You,36,271240,0.213,0.768,0.852,7.45E-05,4,0.0723,-6.215,1,0.038,128.374,4,0.867
Breaking The Chains,57,231693,0.00914,0.526,0.9,0,4,0.277,-4.76,0,0.0531,125.349,4,0.458
Uncle Tom's Cabin,52,241506,0.186,0.633,0.732,1.37E-05,8,0.13,-6.785,1,0.0707,126.567,4,0.273
"Mama, I'm Coming Home",68,251866,0.0105,0.282,0.656,0,8,0.0892,-6.557,1,0.0302,139.352,4,0.242
Runnin' With The Devil - 2015 Remastered Version,69,214960,0.148,0.472,0.9,0.000297,8,0.34,-6.406,0,0.0582,95.826,4,0.42
Just Like Paradise,54,243280,0.0219,0.611,0.853,0,2,0.671,-4.983,1,0.034,135.558,4,0.376
Since You Been Gone,65,197866,0.551,0.716,0.821,5.68E-06,7,0.618,-4.204,1,0.0389,120.737,4,0.931
Cryin',48,211906,0.146,0.657,0.567,2.00E-05,9,0.0554,-12.871,1,0.0261,109.007,4,0.563
Barracuda,72,261933,0.015,0.547,0.691,0.105,4,0.144,-13.553,0,0.0369,137.148,4,0.667
Wind Of Change,37,313226,0.297,0.453,0.543,0,0,0.0928,-10.106,1,0.0366,151.362,4,0.282
Every Breath You Take,45,253733,0.413,0.828,0.447,0.00335,1,0.074,-10.563,1,0.0349,117.391,4,0.676
All Out of Love,66,241373,0.077,0.502,0.513,0,0,0.494,-6.473,1,0.0251,108.371,4,0.318
Hard To Say I'm Sorry - 2007 Remastered Version,65,221413,0.662,0.561,0.42,2.60E-06,4,0.186,-7.79,1,0.0272,72.319,4,0.27
Woman - 2010 - Remaster,69,212933,0.378,0.588,0.656,0.00227,3,0.042,-6.373,1,0.0224,79.701,4,0.746
Foolish Beat,61,262413,0.267,0.542,0.44,2.48E-06,10,0.147,-11.161,0,0.0257,78.325,4,0.341
Have I Told You Lately,67,260386,0.278,0.344,0.477,0.0128,4,0.136,-10.266,1,0.0338,143.78,4,0.182
Can't Fight This Feeling,73,294773,0.155,0.408,0.48,1.82E-05,9,0.0877,-11.017,1,0.0266,156.344,4,0.19
Every Woman In The World - Digitally Remastered 1999,49,207760,0.207,0.465,0.552,0,9,0.182,-7.23,1,0.0295,79.035,4,0.331
Tonight I Celebrate My Love,65,211400,0.874,0.47,0.228,2.48E-05,3,0.133,-13.651,1,0.0316,116.947,4,0.14
Endless Love - Endless Love/Soundtrack Version,48,266266,0.64,0.207,0.358,0.000356,10,0.166,-9.672,1,0.0289,62.33,3,0.209
When I See You Smile,67,257440,0.42,0.495,0.609,0,7,0.187,-9.902,1,0.0339,135.671,4,0.33
Drive - Remastered,65,234332,0.115,0.261,0.703,0.00078,6,0.102,-7.871,1,0.0414,83.495,4,0.405
We've Got Tonight,62,234560,0.767,0.543,0.227,4.29E-05,8,0.103,-11.247,1,0.0298,123.548,4,0.292
Lover's Moon,58,251400,0.771,0.62,0.186,0.0115,7,0.0738,-19.696,1,0.0276,137.715,4,0.44
I'll Be Loving You (Forever),64,263933,0.282,0.598,0.282,0,11,0.105,-17.227,1,0.0256,134.706,4,0.305
Arthur's Theme (Best That You Can Do) - Remastered Version,69,234493,0.169,0.526,0.515,0.000816,9,0.181,-11.169,1,0.0389,136.543,4,0.518
Nothing's Gonna Change My Love For You,64,242678,0.764,0.553,0.614,0,1,0.0811,-5.098,1,0.0306,136.628,4,0.345
Open Arms,69,202173,0.584,0.405,0.21,0,2,0.139,-13.214,1,0.0279,100.577,3,0.174
The One That You Love,62,259000,0.728,0.396,0.479,9.51E-06,5,0.102,-8.072,1,0.0268,109.973,4,0.184
TRUE,74,328293,0.506,0.744,0.545,0.0977,0,0.0649,-9.361,1,0.0297,97.409,4,0.346
The Flame,64,338800,0.513,0.629,0.581,2.06E-06,4,0.0755,-11.856,1,0.027,97.074,4,0.359
Nothing's Gonna Stop Us Now,75,270333,0.0298,0.643,0.801,0,6,0.0719,-4.921,1,0.0228,95.988,4,0.534
"Say You, Say Me",32,241066,0.355,0.636,0.405,0,8,0.081,-11.113,1,0.0287,128.068,4,0.257
Straight From The Heart,55,211933,0.0814,0.578,0.213,0,0,0.116,-18.504,1,0.0277,84.778,4,0.317
Take On Me,85,225280,0.018,0.573,0.902,0.00125,6,0.0928,-7.638,0,0.054,84.412,4,0.876
Waiting For A Girl Like You,69,292066,0.31,0.33,0.469,2.30E-06,10,0.0402,-9.286,0,0.0335,201.327,4,0.433
Careless Whisper,13,300093,0.144,0.575,0.634,1.68E-06,2,0.314,-8.822,0,0.0348,153.217,4,0.79
Woman in Love,67,231840,0.248,0.469,0.278,0.000126,3,0.133,-16.311,0,0.028,169.735,4,0.331
Do You Remember? - 2016 Remastered,60,275986,0.114,0.677,0.509,0.0134,5,0.0659,-7.472,1,0.0252,93.042,4,0.525
Listen To Your Heart,73,328093,0.108,0.539,0.583,0,1,0.111,-4.935,0,0.0275,86.063,4,0.337
Heaven,14,243666,0.0596,0.34,0.412,0,9,0.117,-13.727,0,0.0268,69.857,4,0.402
Glory Of Love,72,258120,0.0778,0.518,0.585,2.43E-06,5,0.31,-8.485,1,0.0279,144.998,4,0.312
"Take My Breath Away - Love Theme from ""Top Gun""",72,255733,0.0613,0.497,0.719,0,6,0.411,-9.397,1,0.0266,95.769,4,0.547
It Might Be You (Theme From Tootsie),58,256226,0.296,0.443,0.282,0.000231,7,0.308,-14.339,1,0.0299,179.714,4,0.262
The Lady In Red,62,256487,0.328,0.59,0.306,6.95E-06,10,0.0377,-16.326,1,0.0325,77.069,4,0.493
Time After Time,74,243066,0.576,0.724,0.436,1.19E-06,0,0.0908,-9.321,1,0.0282,130.439,4,0.324
Against All Odds (Take A Look At Me Now) - 2016 Remastered,72,206360,0.198,0.58,0.498,0,1,0.132,-6.901,1,0.0277,116.271,4,0.111
Every Time You Go Away,60,324346,0.169,0.608,0.604,0.000133,5,0.106,-12.285,1,0.0433,164.254,4,0.673
I Want To Know What Love Is - Remastered,76,304786,0.193,0.477,0.471,1.76E-06,6,0.131,-10.036,1,0.0277,81.204,4,0.423
Faithfully,70,267080,0.0979,0.202,0.644,0,11,0.109,-5.212,1,0.0324,85.04,5,0.252
Total Eclipse of the Heart,56,418000,0.348,0.439,0.512,0,8,0.154,-12.875,1,0.0515,131.386,4,0.197
With Or Without You - Remastered,35,295520,0.000185,0.538,0.432,0.309,2,0.139,-11.882,1,0.0295,110.181,4,0.116
Alone,73,218733,0.638,0.418,0.452,0.00026,1,0.0959,-13.099,1,0.0356,175.088,4,0.168
You're The Inspiration - 2006 Remastered Version,72,229240,0.368,0.583,0.602,0,11,0.22,-6.364,1,0.0274,74.008,4,0.388
Right Here Waiting,74,264333,0.8,0.395,0.252,0,0,0.101,-13.589,1,0.0301,177.679,4,0.126
If You Don't Know Me By Now - 2008 Remastered Version,70,204000,0.492,0.638,0.352,0,10,0.105,-9.266,1,0.0268,94.173,3,0.204
Baby Can I Hold You,70,193120,0.0811,0.692,0.422,0,2,0.0848,-10.533,1,0.0333,74.375,4,0.468
Eternal Flame,63,235666,0.64,0.521,0.233,0,7,0.245,-13.683,1,0.0254,78.927,3,0.409
(I Just) Died In Your Arms,69,280400,0.0158,0.625,0.726,0.000169,11,0.0625,-11.402,0,0.0444,124.945,4,0.507
How Am I Supposed to Live Without You,70,255666,0.191,0.541,0.44,0,10,0.114,-12.206,1,0.031,140.273,4,0.232
Welcome To The Jungle,75,273600,0.0326,0.445,0.955,0.284,8,0.317,-8.027,1,0.0856,123.343,4,0.336
You Shook Me All Night Long,77,210173,0.00287,0.532,0.767,0.000513,7,0.39,-5.509,1,0.0574,127.361,4,0.755
Pour Some Sugar On Me - Remastered 2017,75,267306,0.00211,0.267,0.953,0,1,0.283,-4.899,0,0.096,84.989,4,0.568
Jump - 2015 Remastered Version,78,241599,0.171,0.572,0.835,0.000376,0,0.0702,-6.219,1,0.0317,129.994,4,0.796
Another One Bites The Dust - Remastered 2011,74,214653,0.115,0.951,0.53,0.179,5,0.17,-6.594,0,0.178,109.979,4,0.699
Livin' On A Prayer,63,250626,0.0665,0.52,0.887,0.000179,0,0.186,-3.296,1,0.0349,122.528,4,0.793
Should I Stay or Should I Go - Remastered,79,188986,0.079,0.742,0.833,0,2,0.384,-6.463,1,0.115,113.375,4,0.816
Dancing With Myself,66,359733,0.0157,0.51,0.696,0.000104,4,0.297,-10.83,1,0.0802,176.567,4,0.905
Every Breath You Take - Remastered 2003,75,253886,0.56,0.813,0.46,0.0105,1,0.0724,-9.78,1,0.0346,117.387,4,0.729
Let's Dance - 1999 Remastered Version,71,457133,0.00388,0.619,0.703,0.205,10,0.163,-9.414,0,0.0525,115.043,4,0.709
Free Fallin',73,256000,0.219,0.63,0.449,0,5,0.0622,-13.243,1,0.0252,84.378,4,0.623
With Or Without You - Remastered,70,295515,0.000207,0.543,0.432,0.369,2,0.146,-11.832,1,0.0288,110.196,4,0.107
Need You Tonight,65,180517,0.0713,0.801,0.723,0.154,10,0.0675,-4.985,0,0.0689,109.03,4,0.883
Any Way You Want It,66,201866,0.000312,0.519,0.934,0.00457,7,0.137,-7.137,1,0.0471,138.162,4,0.586
I Was Made For Lovin' You,36,271240,0.213,0.768,0.852,7.45E-05,4,0.0723,-6.215,1,0.038,128.374,4,0.867
Dude (Looks Like A Lady),69,265773,0.417,0.537,0.978,1.56E-05,4,0.0374,-2.921,0,0.0442,126.343,4,0.931
When Doves Cry,70,352906,0.0102,0.729,0.989,4.45E-05,9,0.443,-4.613,0,0.049,126.47,4,0.84
Born in the U.S.A.,73,278680,0.000373,0.398,0.952,7.75E-05,4,0.1,-6.042,1,0.061,122.093,4,0.584
Rock You Like A Hurricane,66,252493,0.00853,0.482,0.601,0.000187,7,0.249,-12.846,1,0.0486,125.619,4,0.774
Every Rose Has Its Thorn - Remastered 2003,71,260173,0.16,0.533,0.637,1.12E-05,6,0.369,-5.571,1,0.0323,140.167,4,0.292
"Girls, Girls, Girls",69,270426,0.0296,0.6,0.931,7.10E-05,7,0.392,-4.647,1,0.0734,140.123,4,0.542
Here I Go Again 87 - 2007 Remastered Version,15,270160,0.207,0.39,0.898,6.64E-05,7,0.217,-4.089,1,0.045,90.703,4,0.204
Walk This Way,59,310960,0.00841,0.767,0.651,3.86E-05,6,0.0609,-10.186,0,0.0501,105.592,4,0.946
Sweet Child O' Mine,77,356400,0.141,0.449,0.901,0.0675,6,0.128,-7.711,1,0.0526,125.148,4,0.696
We're Not Gonna Take It,60,219666,0.0127,0.502,0.924,0,4,0.162,-6.299,1,0.0503,149.186,4,0.922
Poison,60,269600,0.0515,0.3,0.894,0.000333,2,0.125,-7.786,0,0.109,118.631,4,0.268
I Hate Myself for Loving You,66,246800,0.0846,0.611,0.883,1.20E-06,9,0.192,-11.225,1,0.0539,117.928,4,0.604
Unskinny Bop - 2006 - Remaster,61,228066,0.0657,0.574,0.93,7.78E-06,1,0.108,-2.949,1,0.0413,92.303,4,0.69
Barracuda,72,261933,0.015,0.547,0.691,0.105,4,0.144,-13.553,0,0.0369,137.148,4,0.667
I Ran,57,220306,0.000466,0.525,0.858,0.878,9,0.166,-4.927,0,0.0345,145.492,4,0.669
Once In A Lifetime - 2005 Remastered Version,68,259906,0.181,0.644,0.919,0.134,2,0.622,-6.289,1,0.0561,117.459,4,0.871
Personal Jesus - Original Seven Inch Version,62,224906,0.0112,0.637,0.682,0.0234,11,0.0473,-11.625,1,0.0366,129.983,4,0.714
Desire,63,179360,0.000212,0.49,0.827,0.00406,8,0.112,-9.481,1,0.0482,108.577,4,0.626
How Soon Is Now? - 2011 Remastered Version,68,408173,0.000854,0.398,0.93,0.121,11,0.0874,-6.76,1,0.0615,190.818,4,0.725
Just Like Heaven - 2006 Remastered Version,48,212013,0.0524,0.442,0.935,0.000307,9,0.188,-6.903,1,0.0424,151.448,4,0.514
Billie Jean,84,293826,0.0236,0.92,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
Bad Medicine,67,316706,0.048,0.555,0.973,0,9,0.0853,-3.804,1,0.035,118.642,4,0.805
Where The Streets Have No Name - Remastered,56,336613,0.0113,0.492,0.709,0.00564,2,0.153,-9.66,1,0.0359,125.799,4,0.264
Panama - 2015 Remastered Version,73,210226,0.00124,0.527,0.978,4.75E-05,8,0.0744,-5.436,1,0.109,141.169,4,0.463
Stand - Remastered,16,192960,0.435,0.65,0.732,0,4,0.093,-10.042,1,0.0289,109.292,4,0.919
Jane Says,66,287000,0.0387,0.426,0.65,3.76E-06,7,0.126,-7.747,1,0.0332,82.184,4,0.493
Hungry Like The Wolf - 2009 Remastered Version,72,220626,0.0433,0.691,0.812,1.16E-06,0,0.299,-7.772,1,0.0558,127.568,4,0.685
18 And Life,60,231280,0.000384,0.457,0.794,7.26E-05,1,0.131,-6.624,0,0.0298,90.439,4,0.354
The Safety Dance,56,164866,0.0252,0.524,0.881,0,5,0.101,-4.479,1,0.0468,101.677,4,0.62
West End Girls - 2001 Remastered Version,58,245360,0.0114,0.648,0.947,0.0567,4,0.105,-6.617,0,0.0369,113.255,4,0.602
Eye of the Tiger,55,245533,0.158,0.823,0.563,0.00033,0,0.0861,-10.134,0,0.0318,108.86,4,0.563
You Spin Me Round (Like a Record),72,199666,0.0308,0.567,0.943,0.0966,6,0.544,-7.992,0,0.0387,128.207,4,0.965
Shout,69,393666,0.174,0.511,0.942,1.87E-05,0,0.139,-10.407,1,0.0429,97.909,4,0.498
Tainted Love,26,162506,0.438,0.569,0.402,0,0,0.134,-10.151,1,0.0433,144.635,4,0.696
Dr Feelgood,32,282560,0.000766,0.536,0.959,0.0533,2,0.22,-5.126,1,0.076,111.012,4,0.39
Summer Of '69,80,216053,0.0183,0.508,0.834,0,2,0.0732,-6.205,1,0.0386,139.131,4,0.774
One,69,447440,0.00112,0.444,0.703,0.0761,7,0.127,-9.443,1,0.0641,106.228,4,0.419
Money For Nothing,63,506400,0.0491,0.667,0.655,0.000894,2,0.0641,-9.339,0,0.0367,134.212,4,0.657
Jessie's Girl,9,195933,0.113,0.704,0.77,0,2,0.101,-8.843,1,0.0526,131.57,4,0.839
Come On Eileen,72,287306,0.648,0.45,0.658,3.14E-06,2,0.264,-7.064,1,0.0472,106.799,4,0.781
Fight For Your Right,68,207400,0.129,0.673,0.72,0.0133,8,0.0813,-10.411,1,0.0376,133.62,4,0.6
Love Will Tear Us Apart - 2010 Remastered Version,64,204621,0.000989,0.525,0.902,0.691,2,0.137,-8.662,1,0.0368,146.83,4,0.907
Runaway,67,230666,0.00482,0.476,0.897,2.38E-05,9,0.152,-4.237,0,0.0627,152.497,4,0.667
Faith - Remastered,75,193200,0.0094,0.887,0.48,3.58E-05,11,0.0662,-11.994,1,0.117,95.846,4,0.607
Working for the Weekend,15,220706,0.027,0.526,0.924,0.000728,7,0.598,-5.591,1,0.0391,147.28,4,0.793
Everybody Wants To Rule The World,82,251488,0.372,0.638,0.8,0.00553,7,0.113,-12.077,1,0.0572,112.055,4,0.569
Take On Me,85,225280,0.018,0.573,0.902,0.00125,6,0.0928,-7.638,0,0.054,84.412,4,0.876
Relax,52,236800,0.334,0.676,0.7,1.40E-05,11,0.0462,-13.397,0,0.0391,114.932,4,0.692
Blue Monday - 2016 Remastered Version,73,450800,0.000726,0.793,0.703,0.88,0,0.075,-9.548,1,0.0581,130.27,4,0.856
Don't You (Forget About Me),73,263040,0.168,0.66,0.816,0.0181,2,0.0608,-6.61,1,0.0299,111.346,4,0.678
Don't Stop Believin',76,248906,0.25,0.491,0.802,0,4,0.387,-7.106,1,0.0392,119.25,4,0.472
The Boys Of Summer,75,288733,0.546,0.522,0.559,0.00565,6,0.188,-13.641,1,0.0387,176.894,4,0.908
Addicted To Love,65,363640,0.361,0.702,0.59,3.91E-06,2,0.0512,-12.76,1,0.0302,111.57,4,0.973
I Still Haven't Found What I'm Looking For - Remastered 2007,54,277480,0.0139,0.565,0.764,0.00488,1,0.079,-9.43,1,0.0351,100.891,4,0.686
Mountain Song,58,242720,0.0155,0.324,0.931,0.0252,9,0.277,-6.803,1,0.0837,82.748,4,0.313
Cum on Feel the Noize,68,287400,0.000183,0.441,0.908,0.00328,11,0.0612,-4.627,0,0.115,145.439,4,0.632
Call Me,64,212226,0.000646,0.554,0.833,0.0025,2,0.0737,-6.667,0,0.0347,142.673,4,0.773
Cherry Pie,68,201026,0.0372,0.472,0.946,0,2,0.352,-4.591,1,0.145,177.489,4,0.486
Walk This Way,66,211026,0.0249,0.629,0.785,9.45E-06,5,0.0522,-10.761,1,0.0471,108.531,4,0.869
Crazy Train - Remastered,75,296200,0.361,0.453,0.906,0.000569,9,0.26,-4.001,1,0.115,137.575,4,0.473
Ace of Spades,74,165906,0.00242,0.317,0.981,0.00677,6,0.0852,-7.102,1,0.174,140.079,4,0.234
Run to the Hills - 1998 Remastered Version,70,233960,0.0103,0.221,0.956,0.000523,0,0.195,-4.641,1,0.0876,173.254,4,0.432
Real Wild Child (Wild One),34,218400,0.00182,0.566,0.926,0.122,4,0.281,-7.099,1,0.0327,146.271,4,0.963
Rebel Yell,25,288533,0.000732,0.536,0.869,0.000374,4,0.337,-4.91,0,0.0597,166.383,4,0.493
Pride (In The Name Of Love),44,227733,0.000901,0.421,0.742,0.00216,4,0.689,-10.564,1,0.0334,105.889,4,0.762
She Sells Sanctuary,63,252533,4.82E-06,0.55,0.765,0.873,7,0.132,-8.684,1,0.0287,139.453,4,0.417
The Final Countdown,74,310333,0.0628,0.536,0.844,0.00084,6,0.0608,-6.918,0,0.058,117.652,4,0.185
Personal Jesus - Single Version,68,224933,0.0911,0.673,0.899,0.0172,11,0.0481,-3.528,1,0.0434,129.885,4,0.793
The Killing Moon,66,346280,0.132,0.522,0.85,0.0338,7,0.295,-4.769,1,0.0361,124.216,4,0.71
Don't Change,22,268200,5.93E-05,0.206,0.81,0.0644,9,0.0855,-6.492,1,0.0423,163.552,4,0.155
Boys Don't Cry,71,155973,0.00517,0.462,0.836,0,11,0.18,-5.766,0,0.0621,168.766,4,0.671
Rock the Casbah - Remastered,72,222426,0.287,0.796,0.872,0,9,0.284,-6.722,0,0.0573,129.894,4,0.866
Debaser,63,173173,0.000427,0.487,0.884,0.402,5,0.0954,-11.995,1,0.0425,135.533,4,0.569
Whip It,55,158106,0.0658,0.768,0.716,0.00213,2,0.0379,-12.922,1,0.0625,157.935,4,0.961
Love Buzz,43,215120,2.38E-05,0.465,0.886,0.314,3,0.152,-7.183,1,0.0354,137.986,4,0.772
It's The End Of The World As We Know It (And I Feel Fine),47,246973,0.0242,0.566,0.893,0,7,0.0343,-8.88,1,0.0309,102.813,4,0.774
Teen Age Riot (Album Version),62,417800,0.000277,0.286,0.907,0.202,7,0.0837,-9.67,1,0.0374,156.395,4,0.746
Sunday Bloody Sunday - Remastered 2008,57,279440,0.415,0.541,0.946,0.000389,6,0.0468,-7.459,1,0.058,101.169,4,0.728
Video Killed The Radio Star,70,252773,0.103,0.68,0.678,0.00828,1,0.204,-11.548,1,0.0754,131.165,4,0.251
Waiting Room,61,173266,0.00401,0.616,0.727,0.86,1,0.157,-8.176,0,0.0365,92.259,4,0.54
Don't Want To Know If You Are Lonely,54,210866,0.00128,0.305,0.965,0.00124,0,0.317,-5.926,1,0.0809,90.81,4,0.644
Epic,69,293653,0.0222,0.358,0.893,0.0524,4,0.126,-7.486,0,0.12,174.238,4,0.262
New Sensation,42,220160,0.00655,0.679,0.946,3.46E-05,9,0.0524,-5.281,1,0.0638,115.425,4,0.89
Brass In Pocket - 2006 Remastered Version,62,185960,0.368,0.751,0.703,0.00123,9,0.196,-5.687,1,0.0287,97.931,4,0.907
Pictures Of You - Remastered,48,448306,0.00325,0.476,0.764,0.112,9,0.138,-6.454,1,0.032,171.903,4,0.546
Africa,86,295893,0.257,0.671,0.373,7.95E-05,9,0.0481,-18.064,1,0.0323,92.717,4,0.732
Should I Stay or Should I Go - Remastered,79,188986,0.079,0.742,0.833,0,2,0.384,-6.463,1,0.115,113.375,4,0.816
Billie Jean,84,293826,0.0236,0.92,0.654,0.0158,11,0.0359,-3.051,0,0.0401,117.046,4,0.847
Sweet Dreams (Are Made of This) - Remastered,83,216933,0.227,0.692,0.711,0,0,0.12,-7.498,0,0.0317,125.135,4,0.875
Don't Stop Believin',58,249653,0.242,0.49,0.723,0,4,0.371,-9.699,1,0.0408,119.022,4,0.485
Time After Time,74,243066,0.576,0.724,0.436,1.19E-06,0,0.0908,-9.321,1,0.0282,130.439,4,0.324
Every Breath You Take,66,251573,0.559,0.822,0.478,0.0073,1,0.0813,-8.746,1,0.0343,117.394,4,0.722
You Make My Dreams,64,190706,0.261,0.737,0.569,0.311,5,0.046,-6.702,1,0.0553,167.196,4,0.912
I Wanna Dance with Somebody (Who Loves Me),25,291293,0.207,0.709,0.824,0.000307,1,0.0888,-8.824,1,0.0453,118.814,4,0.867
"80s Baby - feat. Salt-N-Pepa, Naughty By Nature, Tiffany, Debbie Gibson",52,217043,0.119,0.764,0.885,0,7,0.109,-4.274,0,0.143,104.049,4,0.746
Michael Jackson x Mark Ronson: Diamonds are Invincible,70,300026,0.342,0.672,0.832,0.000428,11,0.242,-2.388,0,0.342,117.298,4,0.549
Careless Whisper,76,300106,0.128,0.574,0.629,0,2,0.271,-8.815,0,0.0363,153.119,4,0.786
I Love Rock 'N Roll,66,175173,0.326,0.535,0.716,0,4,0.659,-5.025,1,0.0431,94.379,4,0.901
Whip It,47,158640,0.06,0.769,0.867,0.000562,2,0.0432,-7.436,1,0.0545,157.874,4,0.962
Beat It - Single Version,79,258040,0.0491,0.779,0.867,7.98E-06,3,0.197,-3.704,0,0.0457,138.858,4,0.915
